States/UTs,Total No. of Road Accidents 2006,Total No. of Road Accidents 2007,Total No. of Road Accidents 2008,Total No. of Road Accidents 2009,Total No. of Road Accidents 2010,Total No. of Road Accidents 2011,Total No. of Road Accidents 2012,Total No. of Road Accidents 2013,Total No. of Road Accidents 2014,Total 2006-14,Number of Persons Killed 2006,Number of Persons Killed 2007,Number of Persons Killed 2008,Number of Persons Killed 2009,Number of Persons Killed 2010,Number of Persons Killed 2011,Number of Persons Killed 2012,Number of Persons Killed 2013,Number of Persons Killed 2014,Number of Persons Injured 2006,Number of Persons Injured 2007,Number of Persons Injured 2008,Number of Persons Injured 2009,Number of Persons Injured 2010,Number of Persons Injured 2011,Number of Persons Injured 2012,Number of Persons Injured 2013,Number of Persons Injured 2014
Andhra Pradesh,209,584,657,547,692,662,392,523,60,4326,49,211,246,230,288,261,196,162,19,401,947,866,1053,981,864,815,456,70
Arunachal Pradesh,19,14,30,50,9,11,15,25,23,196,7,4,18,24,0,0,20,18,13,20,38,29,89,11,38,29,37,25
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,106,217,151,214,360,222,457,290,409,2426,43,125,72,122,170,114,218,183,210,54,141,120,135,265,149,282,139,306
Chhattisgarh,489,268,264,269,467,476,243,219,212,2907,78,78,82,81,90,72,63,62,60,461,229,207,260,500,496,268,237,206
Goa,34,20,10,7,2,3,4,7,1,88,6,1,0,0,0,0,1,0,0,53,25,11,1,2,2,2,4,0
Gujarat,51,37,32,59,61,0,37,132,194,603,14,11,6,6,6,0,6,44,43,38,28,34,26,45,0,29,180,241
Haryana,116,236,184,189,149,140,131,145,127,1417,53,82,88,91,101,103,88,91,75,74,136,178,117,103,89,89,78,68
Himachal Pradesh,0,29,3,2,0,2,0,5,0,41,0,7,0,2,0,0,0,1,0,0,21,2,0,0,4,0,4,0
Jammu & Kashmir,115,4,1,6,0,24,6,6,20,182,16,1,0,0,0,9,3,1,2,61,3,1,10,0,15,60,48,36
Jharkhand,22,34,22,198,273,183,252,220,203,1407,4,11,10,96,165,72,113,134,94,92,38,16,179,173,207,248,201,230
Karnataka,349,231,220,264,299,264,263,218,679,2787,70,48,39,41,101,50,56,51,202,542,287,289,314,349,622,610,325,307
Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,431,478,243,224,377,830,365,524,539,4011,88,91,32,32,47,111,54,84,83,747,447,279,239,378,771,368,458,448
Maharashtra,106,199,52,52,468,22,21,17,102,1039,24,38,18,18,91,7,8,7,41,109,159,38,38,246,23,18,14,92
Manipur,0,0,66,0,5,1,18,22,110,222,0,0,16,0,2,0,1,6,15,0,0,154,0,17,2,34,62,127
Meghalaya,2,11,11,7,7,4,37,33,28,140,0,14,14,2,0,0,13,9,9,4,0,0,5,5,0,30,24,14
Mizoram,0,1,0,0,0,14,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,198,306,323,378,0,0,10,14,11,1240,92,123,119,142,0,0,2,9,11,202,349,402,519,0,0,10,14,9
Punjab,56,69,71,133,71,319,162,183,311,1375,53,47,48,60,57,262,147,148,232,49,60,52,146,59,167,92,106,166
Rajasthan,489,466,13,5,11,14,30,76,23,1127,153,168,1,6,13,7,11,36,11,704,572,35,5,11,25,32,111,26
Sikkim,16,13,22,39,19,33,16,10,10,178,4,3,9,6,6,9,20,0,2,27,20,15,30,38,26,64,57,16
Tamil Nadu,395,14,120,88,80,481,291,5,36,1510,66,1,28,13,17,106,65,2,13,308,16,155,115,83,501,332,8,56
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,338,338,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,920
Tripura,0,1,0,0,0,26,37,4,0,68,0,1,0,0,0,9,13,2,0,0,0,0,0,0,27,42,4,0
Uttarakhand,12,24,18,6,11,0,0,13,0,84,6,36,10,3,9,0,0,6,0,20,37,22,5,34,0,0,14,0
Uttar Pradesh,577,557,738,780,831,863,824,1019,1582,7771,355,301,316,381,375,432,412,522,838,456,346,813,918,853,706,935,1021,1185
West Bengal,393,583,778,362,575,194,919,1078,943,5825,170,227,214,140,226,111,390,460,398,390,347,715,437,568,155,1232,1154,929
Andaman and Nicobar Island,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,8,0,NA,0,0,0,0,0,0,NA,0,NA,NA
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,4185,4396,4030,3879,4767,4788,4530,4788,5961,41324,1351,1629,1386,1496,1764,1753,1900,2038,2554,4812,4246,4434,4641,4721,4896,5621,4756,5477
